gen_id,name,type,file_count,dir_count,total_size_bytes,total_size_gib,zero_byte_files
0318_155727,a8,dir,0,0,0,0.0,0
0318_155727,a9,dir,0,0,0,0.0,0
0318_155727,aa,dir,0,0,0,0.0,0
0318_155727,ab,dir,0,0,0,0.0,0
0318_155727,ac,dir,0,0,0,0.0,0
0318_155727,ad,dir,0,0,0,0.0,0
0318_155727,ae,dir,0,0,0,0.0,0
0318_155727,af,dir,0,0,0,0.0,0
0318_155727,b0,dir,0,0,0,0.0,0
0318_155727,b1,dir,0,0,0,0.0,0
0318_155727,b2,dir,0,0,0,0.0,0
0318_155727,b3,dir,0,0,0,0.0,0
0318_155727,b4,dir,0,0,0,0.0,0
0318_155727,b5,dir,0,0,0,0.0,0
0318_155727,b6,dir,0,0,0,0.0,0
0318_155727,b7,dir,0,0,0,0.0,0
0318_155727,b8,dir,0,0,0,0.0,0
0318_155727,b9,dir,0,0,0,0.0,0
0318_155727,ba,dir,0,0,0,0.0,0
0318_155727,bb,dir,0,0,0,0.0,0
0318_155727,bc,dir,0,0,0,0.0,0
0318_155727,bd,dir,0,0,0,0.0,0
0318_155727,be,dir,0,0,0,0.0,0
0318_155727,bf,dir,0,0,0,0.0,0
0318_155727,c0,dir,0,0,0,0.0,0
0318_155727,c1,dir,0,0,0,0.0,0
0318_155727,c2,dir,0,0,0,0.0,0
0318_155727,c3,dir,0,0,0,0.0,0
0318_155727,c4,dir,0,0,0,0.0,0
0318_155727,c5,dir,0,0,0,0.0,0
0318_155727,c6,dir,0,0,0,0.0,0
0318_155727,c7,dir,0,0,0,0.0,0
0318_155727,c8,dir,0,0,0,0.0,0
0318_155727,c9,dir,0,0,0,0.0,0
0318_155727,ca,dir,0,0,0,0.0,0
0318_155727,cb,dir,0,0,0,0.0,0
0318_155727,cc,dir,0,0,0,0.0,0
0318_155727,cd,dir,0,0,0,0.0,0
0318_155727,ce,dir,0,0,0,0.0,0
0318_155727,cf,dir,0,0,0,0.0,0
0318_155727,d0,dir,0,0,0,0.0,0
0318_155727,d1,dir,0,0,0,0.0,0
0318_155727,d2,dir,0,0,0,0.0,0
0318_155727,d3,dir,0,0,0,0.0,0
0318_155727,d4,dir,0,0,0,0.0,0
0318_155727,d5,dir,0,0,0,0.0,0
0318_155727,d6,dir,0,0,0,0.0,0
0318_155727,d7,dir,0,0,0,0.0,0
0318_155727,d8,dir,0,0,0,0.0,0
0318_155727,d9,dir,0,0,0,0.0,0
0318_155727,da,dir,0,0,0,0.0,0
0318_155727,db,dir,0,0,0,0.0,0
0318_155727,dc,dir,0,0,0,0.0,0
0318_155727,dd,dir,0,0,0,0.0,0
0318_155727,de,dir,0,0,0,0.0,0
0318_155727,df,dir,0,0,0,0.0,0
0318_155727,e0,dir,0,0,0,0.0,0
0318_155727,e1,dir,0,0,0,0.0,0
0318_155727,e2,dir,0,0,0,0.0,0
0318_155727,e3,dir,0,0,0,0.0,0
0318_155727,e4,dir,0,0,0,0.0,0
0318_155727,e5,dir,0,0,0,0.0,0
0318_155727,e6,dir,0,0,0,0.0,0
0318_155727,e7,dir,0,0,0,0.0,0
0318_155727,e8,dir,0,0,0,0.0,0
0318_155727,e9,dir,0,0,0,0.0,0
0318_155727,ea,dir,0,0,0,0.0,0
0318_155727,eb,dir,0,0,0,0.0,0
0318_155727,ec,dir,0,0,0,0.0,0
0318_155727,ed,dir,0,0,0,0.0,0
0318_155727,ee,dir,0,0,0,0.0,0
0318_155727,ef,dir,0,0,0,0.0,0
0318_155727,f0,dir,0,0,0,0.0,0
0318_155727,f1,dir,0,0,0,0.0,0
0318_155727,f2,dir,0,0,0,0.0,0
0318_155727,f3,dir,0,0,0,0.0,0
0318_155727,f4,dir,0,0,0,0.0,0
0318_155727,f5,dir,0,0,0,0.0,0
0318_155727,f6,dir,0,0,0,0.0,0
0318_155727,f7,dir,0,0,0,0.0,0
0318_155727,f8,dir,0,0,0,0.0,0
0318_155727,f9,dir,0,0,0,0.0,0
0318_155727,fa,dir,0,0,0,0.0,0
0318_155727,fb,dir,0,0,0,0.0,0
0318_155727,fc,dir,0,0,0,0.0,0
0318_155727,fd,dir,0,0,0,0.0,0
0318_155727,fe,dir,0,0,0,0.0,0
0318_155727,ff,dir,0,0,0,0.0,0
0318_155727,Info.plist.tmp,file,1,0,858679,0.0008,0
0318_155727,Snapshot,dir,19625,256,56713615632,52.8187,0
0318_155727,Status.plist,file,1,0,192,0.0,0
0318_155727,Status.plist.backup,file,1,0,192,0.0,0
0401_020720,00,dir,0,0,0,0.0,0
0401_020720,01,dir,0,0,0,0.0,0
0401_020720,02,dir,0,0,0,0.0,0
