bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
15,True,66,8073840,0.0075,0,26,2,0,"{""snapshot_file"": 66}","{""binary_or_unknown"": 66}"
16,True,74,21883328,0.0204,0,25,3,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 73, ""json_like"": 1}"
17,True,69,324853712,0.3025,0,30,4,1,"{""snapshot_file"": 69}","{""binary_or_unknown"": 68, ""json_like"": 1}"
18,True,72,20936416,0.0195,0,20,5,0,"{""snapshot_file"": 72}","{""binary_or_unknown"": 71, ""json_like"": 1}"
19,True,104,362312176,0.3374,0,45,9,1,"{""snapshot_file"": 104}","{""binary_or_unknown"": 102, ""json_like"": 2}"
1a,True,61,6290992,0.0059,0,24,2,0,"{""snapshot_file"": 61}","{""binary_or_unknown"": 61}"
1b,True,80,151892944,0.1415,0,33,3,1,"{""snapshot_file"": 80}","{""binary_or_unknown"": 76, ""json_like"": 4}"
1c,True,66,10354544,0.0096,0,29,4,0,"{""snapshot_file"": 66}","{""binary_or_unknown"": 66}"
1d,True,67,325106560,0.3028,0,24,6,1,"{""snapshot_file"": 67}","{""binary_or_unknown"": 67}"
1e,True,73,48987904,0.0456,0,25,6,0,"{""snapshot_file"": 73}","{""binary_or_unknown"": 71, ""json_like"": 2}"
1f,True,65,7488576,0.007,0,32,3,0,"{""snapshot_file"": 65}","{""binary_or_unknown"": 65}"
20,True,79,9631920,0.009,0,34,2,0,"{""snapshot_file"": 79}","{""binary_or_unknown"": 79}"
21,True,84,11775888,0.011,0,35,1,0,"{""snapshot_file"": 84}","{""binary_or_unknown"": 84}"
22,True,74,14444800,0.0135,0,25,4,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 74}"
23,True,82,316091168,0.2944,0,24,2,1,"{""snapshot_file"": 82}","{""binary_or_unknown"": 81, ""json_like"": 1}"
24,True,57,5195456,0.0048,0,25,1,0,"{""snapshot_file"": 57}","{""binary_or_unknown"": 57}"
25,True,68,6695328,0.0062,0,29,2,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 68}"
26,True,90,311398384,0.29,0,39,1,1,"{""snapshot_file"": 90}","{""binary_or_unknown"": 89, ""json_like"": 1}"
27,True,71,18220768,0.017,0,28,5,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 70, ""json_like"": 1}"
